Hand,Equity2P,Equity3P
RiverID,ERROR,ERROR
2c 2d 2h 2s 9s 10s Qs,0.940500,0.913000
2c 2d 2h 2s 9s 10s Ks,0.941000,0.941333
2c 2d 2h 2s 9s 10s As,0.967500,0.973667
2c 2d 2h 2s 9s Js Qs,0.934000,0.912000
2c 2d 2h 2s 9s Js Ks,0.949000,0.936000
2c 2d 2h 2s 9s Js As,0.968500,0.971667
2c 2d 2h 2s 9s Qs Ks,0.956000,0.935667
2c 2d 2h 2s 9s Qs As,0.970000,0.972333
2c 2d 2h 2s 9s Ks As,0.970500,0.965667
2c 2d 2h 2s 10s Js Qs,0.928000,0.918000
2c 2d 2h 2s 10s Js Ks,0.948500,0.935333
2c 2d 2h 2s 10s Js As,0.965000,0.962667
2c 2d 2h 2s 10s Qs Ks,0.941500,0.938333
2c 2d 2h 2s 10s Qs As,0.965000,0.963333
2c 2d 2h 2s 10s Ks As,0.969000,0.972333
2c 2d 2h 2s Js Qs Ks,0.940500,0.938333
2c 2d 2h 2s Js Qs As,0.971500,0.965333
2c 2d 2h 2s Js Ks As,0.971000,0.968333
2c 2d 2h 2s Qs Ks As,0.968000,0.964667
2c 2d 2h 3h 3s 4s 5s,0.884000,0.795000
2c 2d 2h 3h 3s 4s 6s,0.865500,0.789000
2c 2d 2h 3h 3s 4s 7s,0.872500,0.800667
2c 2d 2h 3h 3s 4s 8s,0.880000,0.808000
2c 2d 2h 3h 3s 4s 9s,0.875500,0.804667
2c 2d 2h 3h 3s 4s 10s,0.879000,0.787000
2c 2d 2h 3h 3s 4s Js,0.867500,0.772333
2c 2d 2h 3h 3s 4s Qs,0.881500,0.784333
2c 2d 2h 3h 3s 4s Ks,0.886500,0.808000
2c 2d 2h 3h 3s 4s As,0.866000,0.805333
2c 2d 2h 3h 3s 5s 6s,0.874500,0.785667
2c 2d 2h 3h 3s 5s 7s,0.883000,0.815333
2c 2d 2h 3h 3s 5s 8s,0.868000,0.794000
2c 2d 2h 3h 3s 5s 9s,0.876000,0.805333
2c 2d 2h 3h 3s 5s 10s,0.884000,0.786667
2c 2d 2h 3h 3s 5s Js,0.890500,0.814667
2c 2d 2h 3h 3s 5s Qs,0.875500,0.805667
2c 2d 2h 3h 3s 5s Ks,0.878000,0.777667
2c 2d 2h 3h 3s 5s As,0.861000,0.810333
2c 2d 2h 3h 3s 6s 7s,0.878000,0.796333
2c 2d 2h 3h 3s 6s 8s,0.883500,0.794000
2c 2d 2h 3h 3s 6s 9s,0.882000,0.797000
2c 2d 2h 3h 3s 6s 10s,0.871500,0.792667
2c 2d 2h 3h 3s 6s Js,0.875000,0.795667
2c 2d 2h 3h 3s 6s Qs,0.881500,0.808667
2c 2d 2h 3h 3s 6s Ks,0.875000,0.807333
2c 2d 2h 3h 3s 6s As,0.896000,0.797000
2c 2d 2h 3h 3s 7s 8s,0.866000,0.798667
2c 2d 2h 3h 3s 7s 9s,0.885000,0.802333
2c 2d 2h 3h 3s 7s 10s,0.881000,0.804333
2c 2d 2h 3h 3s 7s Js,0.877500,0.808667
2c 2d 2h 3h 3s 7s Qs,0.870000,0.804667
2c 2d 2h 3h 3s 7s Ks,0.880000,0.801333
2c 2d 2h 3h 3s 7s As,0.871000,0.807667
2c 2d 2h 3h 3s 8s 9s,0.879500,0.808667
2c 2d 2h 3h 3s 8s 10s,0.888000,0.797000
